,代码,名称
0,159984,湾区100ETF
1,515220,煤炭ETF
2,159719,开放共赢ETF
3,159876,有色龙头ETF
4,516110,汽车ETF
5,512400,有色金属ETF
6,515210,钢铁ETF
7,510410,资源ETF
8,510170,大宗商品ETF
9,159652,有色50ETF
10,516150,稀土ETF基金
11,159930,能源ETF
12,159871,有色金属ETF
13,516650,有色50ETF
14,159881,有色60ETF
15,516780,稀土ETF
16,159880,有色ETF基金
17,159715,稀土ETF易方达
18,510160,产业升级ETF
19,159713,稀土ETF
20,512870,杭州湾区ETF
21,159618,光伏ETF华安
22,561330,矿业ETF
23,159945,能源ETF基金
24,562800,稀有金属ETF
25,516880,光伏50ETF
26,510190,上证龙头ETF
27,515790,光伏ETF
28,516290,光伏ETF基金
29,561800,稀有金属ETF基金
30,516710,新材料50ETF
31,560980,光伏ETF龙头
32,159825,农业ETF
33,516220,化工龙头ETF
34,159638,高端装备ETF
35,517180,开放共赢ETF
36,159616,农牧ETF
37,516020,化工ETF
38,561550,500增强ETF
39,516120,化工50ETF
40,159907,中小300ETF
41,510570,兴业中证500ETF
42,510880,红利ETF
43,515080,中证红利ETF
44,159609,光伏龙头ETF
45,512040,价值100ETF
46,159827,农业50ETF
47,515180,红利ETF易方达
48,159857,光伏ETF
49,516810,农业50ETF
50,516570,化工行业ETF
51,159608,稀有金属ETF
52,159620,500成长ETF
53,516360,新材料ETF
54,159870,化工ETF
55,159635,基建50ETF
56,159863,光伏ETF基金
57,516950,基建ETF
58,159617,500价值ETF
59,560060,碳中和ETF
60,512890,红利低波ETF
61,561190,双碳ETF
62,562990,碳中和100ETF
63,516180,光伏ETF平安
64,159641,双碳ETF
65,159642,碳中和100ETF
66,159864,光伏50ETF
67,159606,中证500成长ETF
68,159865,养殖ETF
69,159703,新材料ETF
70,517090,共赢ETF
71,159763,新材料ETF基金
72,159731,石化ETF
73,515060,房地产ETF基金
74,159761,新材料50ETF
75,512710,军工龙头ETF
76,159619,基建ETF
77,516760,养殖ETF
78,562900,现代农业ETF
79,159990,小盘价值ETF
80,515890,红利ETF博时
81,560100,中证500增强ETF
